,Output
Topic 1,"level, provision, g, primary, blinding, base, grade, rmp, prepost, post, posts, power, ppe, pre, precast, prelims, prep, pressurised, point, roads"
Topic 2,"matwells, channel, seatings, propping, advertisements, instu, connecting, protective, interface, tc, intenal, end, intermediate, hatches, trim, barrier, ordination, diagonal, envelope, underplatform"
Topic 3,"prior, adit, joints, obstructions, handover, kg, voids, piles, access, lifting, inc, core, structure, panels, back, area, connections, assembly, gallery, power"
Topic 4,"screed, ventilation, gas, bailey, detailing, orders, defect, spring, correction, plint, computer, slabsbasement, surfaces, kpsurveys, umc, thames, kick, kgsurveys, boreholes, building"
Topic 5,"rated, tripper, inclinometers, dwall, steelwork, south, windposts, lc, couplers, shs, raised, required, reinforce, like, mall, vertical, offices, consumption, green, etc"
Topic 6,"guide, plaster, store, kptrials, rig, project, double, connect, access, posts, power, ppe, pre, precast, prelims, prep, pressurised, prepost, points, primary"
Topic 7,"house, to, cladding, access, post, posts, power, ppe, pre, precast, prelims, prep, prepost, point, pressurised, primary, prior, project, propping, proppingfalsework"
Topic 8,"concrete, mass, access, pressurised, posts, power, ppe, pre, precast, prelims, prep, prepost, primary, points, prior, project, propping, proppingfalsework, proppoing, props"
Topic 9,"reith, bin, street, elevation, servest, buffer, passengergoods, bulkheads, sewer, haulage, hill, parapet, knock, the, campbell, h, gal, muck, feature, bc"
Topic 10,"mix, structures, access, pressurised, post, posts, power, ppe, pre, precast, prelims, prep, prepost, primary, point, prior, project, propping, proppingfalsework, proppoing"
Topic 11,"craneage, cranage, post, carriageway, laboratory, scaffolding, training, locomotives, windows, protechning, monorail, watertightdewatering, defibrilators, dewatering, kpgas, plaster, project, prepost, pressurised, primary"
Topic 12,"crossover, track, columns, levels, station, –, overhead, high, phase, form, boh, precast, internal, launch, utilities, river, spare, flooring, dwalls, fit"
Topic 13,"environmental, shoring, park, blockwork, purchased, permanent, proppingfalsework, trackbed, engineering, hs, rsystems, kstation, pc, western, tunnelling, bedding, rc, covent, protection, plenum"
Topic 14,"good, excavation, install, foundations, wall, road, lining, fittings, maintenance, making, main, breaking, precast, pre, prep, ppe, prelims, primary, prepost, pressurised"
Topic 15,"sgi, straighten, acoustic, work, cropping, period, equipment, lubricants, conveyor, support, surveys, sumps, gl, pits, stone, rails, enabling, prelims, overrun, ceiling"
Topic 16,"health, attendances, exposed, bco, groundworks, kgpermanent, screen, otb, costs, lattice, lay, starter, lu, mainbox, deep, hoists, crainage, floors, scada, snagging"
Topic 17,"monitoring, activity, ltypes, mat, bms, ltd, landscaping, diaphragm, tracking, waste, excl, mobilisation, rectification, suspended, bridge, manufacture, remove, type, suitable, ppe"
Topic 18,"existing, and, including, beam, cost, works, steel, external, code, incl, plank, project, pre, precast, prelims, prep, prepost, pressurised, primary, prior"
Topic 19,"cat, sunray, banagher, tony, operatives, gee, consultancy, passengergood, surface, surveyor, louvered, quotation, collective, reconstituted, horizontal, panel, stops, checking, movement, automated"
Topic 20,"bpsdc, wide, walkways, completion, located, segments, various, ote, headhouse, mep, fixing, bituminous, roads, chs, mobilise, female, repairs, props, included, crack"
